# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
4.12223	2253.65836	2285.83397	87.28914	34.18056	783.35901	893.81734	487.18793
4.11013	2261.93416	2290.45123	87.79400	34.44040	794.51781	892.79604	480.90298
4.09802	2275.19949	2295.13942	88.30323	34.70335	805.87214	891.55589	474.70481
4.08592	2287.25992	2299.89940	88.81687	34.96944	817.42424	890.09672	468.59214
4.07381	2287.68842	2304.73226	89.33497	35.23872	829.17616	888.41868	462.56372
4.06171	2294.06619	2309.63928	89.85759	35.51126	841.12988	886.52225	456.61831
4.04960	2314.81083	2314.62191	90.38478	35.78710	853.28715	884.40819	450.75469
4.03750	2312.09550	2319.68175	90.91659	36.06629	865.64960	882.07759	444.97167
4.02540	2296.97749	2324.82052	91.45307	36.34890	878.21864	879.53188	439.26803
4.01329	2297.49138	2330.04007	91.99429	36.63498	890.99544	876.77274	433.64262
4.00119	2306.72799	2335.34233	92.54029	36.92459	903.98098	873.80220	428.09427
3.98908	2330.87246	2340.72926	93.09113	37.21778	917.17593	870.62259	422.62184
3.97698	2341.40487	2346.20286	93.64686	37.51462	930.58068	867.23650	417.22421
3.96487	2339.26845	2351.76512	94.20756	37.81516	944.19532	863.64683	411.90025
3.95277	2355.31151	2357.41797	94.77326	38.11948	958.01957	859.85678	406.64888
3.94066	2373.29021	2363.16325	95.34404	38.42763	972.05279	855.86977	401.46901
3.92856	2384.20140	2369.00267	95.91996	38.73969	986.29392	851.68953	396.35957
3.91645	2379.50283	2374.93777	96.50107	39.05571	1000.74147	847.32000	391.31952
3.90435	2350.86460	2380.96987	97.08744	39.37577	1015.39345	842.76539	386.34782
3.89224	2355.48474	2387.09999	97.67913	39.69994	1030.24736	838.03012	381.44344
3.88014	2378.70970	2393.32887	98.27620	40.02829	1045.30017	833.11881	376.60539
3.86803	2423.51859	2399.65682	98.87873	40.36088	1060.54822	828.03632	371.83267
3.85593	2432.00723	2406.08376	99.48677	40.69781	1075.98723	822.78765	367.12430
3.84382	2430.14231	2412.60909	100.10039	41.03913	1091.61222	817.37801	362.47933
3.83172	2425.60657	2419.23166	100.71967	41.38494	1107.41752	811.81274	357.89680
3.81961	2425.10055	2425.94971	101.34467	41.73530	1123.39664	806.09733	353.37577
3.80751	2434.16967	2432.76080	101.97545	42.09031	1139.54230	800.23741	348.91534
3.79540	2455.71627	2439.66176	102.61210	42.45004	1155.84634	794.23870	344.51459
3.78330	2467.73114	2446.64860	103.25468	42.81458	1172.29968	788.10704	340.17263
3.77120	2468.93726	2453.71647	103.90327	43.18402	1188.89228	781.84833	335.88858
3.75909	2466.08533	2460.85957	104.55794	43.55844	1205.61307	775.46854	331.66158
3.74699	2470.98043	2468.07111	105.21876	43.93794	1222.44992	768.97372	327.49077
3.73488	2501.82160	2475.34326	105.88582	44.32261	1239.38959	762.36991	323.37532
3.72278	2512.03358	2482.66703	106.55920	44.71254	1256.41768	755.66321	319.31440
3.71067	2509.27698	2490.03227	107.23896	45.10783	1273.51857	748.85972	315.30719
3.69857	2495.71629	2497.42761	107.92520	45.50859	1290.67541	741.96551	311.35290
3.68646	2512.78897	2504.84035	108.61799	45.91490	1307.87005	734.98667	307.45074
3.67436	2539.55337	2512.25648	109.31741	46.32689	1325.08302	727.92924	303.59992
3.66225	2565.63756	2519.66061	110.02356	46.74465	1342.29350	720.79920	299.79970
3.65015	2549.26914	2527.03593	110.73651	47.16829	1359.47930	713.60252	296.04931
3.63804	2537.54048	2534.36418	111.45636	47.59792	1376.61683	706.34506	292.34802
3.62594	2537.31436	2541.62563	112.18319	48.03366	1393.68107	699.03262	288.69509
3.61383	2548.93451	2548.79909	112.91709	48.47563	1410.64563	691.67093	285.08982
3.60173	2565.95835	2555.86187	113.65815	48.92394	1427.48269	684.26561	281.53149
3.58962	2575.96552	2562.78981	114.40647	49.37872	1444.16305	676.82217	278.01941
3.57752	2580.17465	2569.55731	115.16214	49.84009	1460.65616	669.34603	274.55290
3.56541	2586.05291	2576.13733	115.92525	50.30818	1476.93015	661.84248	271.13128
3.55331	2574.08915	2582.50148	116.69591	50.78312	1492.95188	654.31668	267.75390
3.54120	2568.22741	2588.62004	117.47420	51.26504	1508.68702	646.77368	264.42010
3.52910	2608.67697	2594.46209	118.26024	51.75409	1524.10014	639.21837	261.12924
3.51700	2599.02303	2599.99554	119.05412	52.25041	1539.15479	631.65553	257.88069
3.50489	2605.64754	2605.18730	119.85595	52.75413	1553.81361	624.08978	254.67383
3.49279	2611.29931	2610.00337	120.66584	53.26541	1568.03848	616.52558	251.50805
3.48068	2612.30549	2614.40898	121.48388	53.78440	1581.79068	608.96727	248.38275
3.46858	2622.07485	2618.36882	122.31019	54.31126	1595.03100	601.41903	245.29733
3.45647	2635.03953	2621.84711	123.14489	54.84613	1607.71999	593.88487	242.25123
3.44437	2643.31884	2624.80788	123.98807	55.38919	1619.81810	586.36867	239.24385
3.43226	2634.60896	2627.21517	124.83986	55.94060	1631.28592	578.87414	236.27465
3.42016	2613.56184	2629.03321	125.70038	56.50054	1642.08439	571.40485	233.34306
3.40805	2616.46292	2630.22669	126.56973	57.06918	1652.17506	563.96419	230.44854
3.39595	2630.86748	2630.76100	127.44805	57.64669	1661.52028	556.55543	227.59055
3.38384	2638.24007	2630.60250	128.33545	58.23327	1670.08354	549.18167	224.76857
3.37174	2623.79817	2629.71873	129.23207	58.82909	1677.82964	541.84586	221.98208
3.35963	2599.30766	2628.07875	130.13801	59.43437	1684.72502	534.55079	219.23056
3.34753	2593.63882	2625.65332	131.05342	60.04928	1690.73797	527.29914	216.51351
3.33542	2588.76520	2622.41524	131.97843	60.67404	1695.83893	520.09340	213.83044
3.32332	2582.61395	2618.33954	132.91316	61.30886	1700.00071	512.93595	211.18086
3.31121	2575.24412	2613.40375	133.85776	61.95395	1703.19875	505.82901	208.56430
3.29911	2564.09310	2607.58813	134.81236	62.60952	1705.41131	498.77467	205.98027
3.28700	2545.36912	2600.87587	135.77710	63.27581	1706.61974	491.77491	203.42832
3.27490	2533.71515	2593.25330	136.75212	63.95304	1706.80862	484.83154	200.90799
3.26280	2528.88997	2584.71003	137.73757	64.64145	1705.96592	477.94627	198.41883
3.25069	2545.28710	2575.23911	138.73360	65.34128	1704.08316	471.12067	195.96040
3.23859	2537.17272	2564.83715	139.74036	66.05278	1701.15554	464.35621	193.53226
3.22648	2531.23863	2553.50438	140.75799	66.77621	1697.18194	457.65424	191.13399
3.21438	2517.67867	2541.24470	141.78666	67.51183	1692.16506	451.01598	188.76517
3.20227	2501.43487	2528.06571	142.82653	68.25990	1686.11135	444.44255	186.42538
3.19017	2493.41268	2513.97869	143.87775	69.02071	1679.03105	437.93498	184.11421
3.17806	2486.03428	2498.99853	144.94049	69.79453	1670.93807	431.49418	181.83126
3.16596	2476.93787	2483.14365	146.01491	70.58166	1661.84997	425.12097	179.57614
3.15385	2439.57045	2466.43590	147.10119	71.38239	1651.78777	418.81608	177.34847
3.14175	2433.85033	2448.90038	148.19950	72.19702	1640.77585	412.58015	175.14785
3.12964	2413.18585	2430.56527	149.31002	73.02588	1628.84174	406.41373	172.97391
3.11754	2405.39322	2411.46166	150.43291	73.86928	1616.01591	400.31728	170.82628
3.10543	2391.55331	2391.62329	151.56838	74.72755	1602.33156	394.29121	168.70460
3.09333	2383.95180	2371.08631	152.71660	75.60103	1587.82437	388.33581	166.60851
3.08122	2361.20759	2349.88903	153.87776	76.49007	1572.53221	382.45134	164.53765
3.06912	2338.69907	2328.07163	155.05205	77.39502	1556.49490	376.63798	162.49169
3.05701	2306.27596	2305.67592	156.23968	78.31625	1539.75391	370.89582	160.47027
3.04491	2297.00379	2282.74501	157.44084	79.25413	1522.35206	365.22493	158.47306
3.03280	2281.26762	2259.32306	158.65573	80.20905	1504.33326	359.62528	156.49974
3.02070	2259.83221	2235.45496	159.88457	81.18140	1485.74221	354.09682	154.54997
3.00860	2246.71642	2211.18610	161.12756	82.17159	1466.62409	348.63943	152.62343
2.99649	2219.51297	2186.56206	162.38491	83.18004	1447.02436	343.25294	150.71981
2.98439	2179.93373	2161.62839	163.65686	84.20716	1426.98843	337.93713	148.83881
2.97228	2167.81355	2136.43032	164.94362	85.25340	1406.56145	332.69176	146.98010
2.96018	2149.51788	2111.01261	166.24542	86.31920	1385.78807	327.51651	145.14340
2.94807	2133.08702	2085.41923	167.56249	87.40503	1364.71225	322.41105	143.32840
2.93597	2108.11259	2059.69329	168.89508	88.51135	1343.37703	317.37502	141.53482
2.92386	2073.13099	2033.87678	170.24341	89.63865	1321.82436	312.40799	139.76237
2.91176	2040.69933	2008.01044	171.60774	90.78742	1300.09498	307.50954	138.01077
2.89965	2010.39520	1982.13365	172.98831	91.95818	1278.22825	302.67918	136.27973
