# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
4.11013	1954.76005	1950.74661	58.38719	24.06907	1033.38542	149.64002	685.26491
4.09802	1955.57026	1949.80744	58.72759	24.25669	1044.65120	144.22481	677.94715
4.08592	1956.25318	1949.24333	59.07096	24.44662	1056.05223	138.97253	670.70099
4.07381	1954.12923	1949.05834	59.41734	24.63890	1067.58857	133.88761	663.52593
4.06171	1953.39743	1949.25455	59.76676	24.83356	1079.26014	128.97267	656.42143
4.04960	1955.00608	1949.83237	60.11925	25.03065	1091.06673	124.22878	649.38696
4.03750	1954.31990	1950.79072	60.47486	25.23021	1103.00798	119.65567	642.42200
4.02540	1952.74871	1952.12725	60.83361	25.43229	1115.08337	115.25197	635.52601
4.01329	1952.88188	1953.83853	61.19555	25.63691	1127.29223	111.01538	628.69846
4.00119	1954.18405	1955.92017	61.56071	25.84414	1139.63368	106.94284	621.93879
3.98908	1957.17002	1958.36701	61.92914	26.05402	1152.10668	103.03071	615.24648
3.97698	1961.96500	1961.17323	62.30086	26.26658	1164.70997	99.27484	608.62097
3.96487	1968.91453	1964.33240	62.67592	26.48189	1177.44211	95.67077	602.06171
3.95277	1969.62450	1967.83763	63.05436	26.69998	1190.30139	92.21373	595.56817
3.94066	1970.25343	1971.68160	63.43622	26.92091	1203.28591	88.89879	589.13978
3.92856	1975.09183	1975.85666	63.82155	27.14472	1216.39348	85.72091	582.77600
3.91645	1980.76858	1980.35480	64.21037	27.37147	1229.62168	82.67499	576.47628
3.90435	1987.08667	1985.16777	64.60274	27.60122	1242.96780	79.75595	570.24007
3.89224	1995.30236	1990.28705	64.99869	27.83401	1256.42883	76.95871	564.06681
3.88014	2004.73746	1995.70390	65.39828	28.06990	1270.00147	74.27829	557.95595
3.86803	2015.34476	2001.40934	65.80155	28.30895	1283.68210	71.70980	551.90695
3.85593	2022.91577	2007.39419	66.20853	28.55121	1297.46675	69.24846	545.91924
3.84382	2029.04944	2013.64905	66.61928	28.79675	1311.35112	66.88960	539.99229
3.83172	2037.95431	2020.16429	67.03384	29.04562	1325.33054	64.62874	534.12554
3.81961	2047.51527	2026.93006	67.45226	29.29789	1339.39995	62.46152	528.31844
3.80751	2057.46863	2033.93628	67.87459	29.55362	1353.55389	60.38373	522.57044
3.79540	2064.44776	2041.17262	68.30088	29.81288	1367.78652	58.39133	516.88101
3.78330	2072.49891	2048.62848	68.73117	30.07573	1382.09153	56.48046	511.24959
3.77120	2083.90472	2056.29299	69.16552	30.34223	1396.46221	54.64738	505.67565
